1000 3
-2628 -8582 -2549 
7042 2583 7590 
-4877 421 -2828 
2696 -5766 468 
5570 6949 -3208 
8082 -617 -4453 
-6284 8200 9285 
-4193 3057 6732 
-4972 -480 5512 
-1522 22 -6411 
8646 -9236 4533 
824 4911 -1571 
7079 -6797 9305 
9326 -2184 -3698 
-6186 6314 -9091 
-6216 -7393 -4084 
1297 3656 5459 
6786 6119 4636 
2595 -4125 2701 
9574 -8187 -5847 
-9309 8689 -1036 
-4898 -5500 -2070 
590 -9304 -1129 
-7049 -374 -9020 
4842 997 2163 
8521 -6009 708 
-2888 18 3343 
8020 4778 7450 
7507 -8745 -5062 
-806 6391 -9922 
-6640 5037 -327 
2867 -7121 -9636 
-2567 1791 -8544 
-2085 -7018 1218 
-325 -8469 2586 
-6186 -7024 -9086 
322 23 8364 
-726 -9187 -7550 
6389 9650 3300 
2809 -9660 -569 
-2756 -2716 -2763 
6398 5948 8753 
8363 -7157 8195 
-524 -4017 -2682 
-2674 3881 -7067 
4624 -2870 8166 
-5149 9633 6930 
-2752 455 3161 
5290 -8281 -8438 
-2550 5089 4213 
-7698 7491 6144 
-4595 -1318 -8401 
-280 3191 3350 
6385 -1247 1060 
-2970 -9925 6901 
4316 7196 4073 
-1832 -7804 -7955 
-9739 2031 -9056 
1930 8689 -5548 
1367 5152 8700 
5383 -2068 4565 
1481 -3730 -1416 
2562 -1131 6854 
4532 3629 9026 
-9975 -6173 -1995 
-5118 -6368 -4363 
6931 -6314 -8294 
-5177 -2135 -9606 
-881 -7564 -4769 
-5850 2761 -9906 
-180 424 8192 
-9624 1511 -7518 
5774 -1020 -5806 
7361 6159 3043 
-1559 -3385 -7657 
-2557 -1946 3863 
-5148 -1387 -6441 
1913 5237 -4636 
-5251 -3188 652 
9233 9002 -1867 
6506 -4214 -5023 
7583 -9035 1197 
4258 1479 -1274 
-73 2324 4018 
-7974 3688 2043 
5384 1970 -2754 
-7664 -8631 -5770 
2169 -4885 4585 
4233 1042 -7930 
18 5680 5458 
-4568 901 -3435 
-8271 -4880 -8049 
-774 -9036 6920 
-4263 -2348 4952 
7564 -1004 6185 
9979 9174 -3074 
3126 7805 -8600 
-5706 9244 7768 
-6843 8560 -4294 
-7105 6329 2709 
-2191 -6958 -4253 
-276 9728 -6390 
7135 5656 9870 
-1649 -3869 170 
2174 5414 4379 
-8276 -570 5902 
-3178 -8208 -715 
-8998 -6404 -2120 
-2314 8413 591 
2584 -1575 5750 
2937 -9788 -350 
-7818 -2320 1510 
142 8987 -1838 
2931 -9813 6388 
5544 -902 4471 
1564 5870 -8303 
4278 -568 4164 
6273 3811 1064 
-4106 5956 8954 
3441 -8716 -8376 
-8433 -3269 -2756 
-5556 8714 -2250 
-1198 -7512 -3618 
9159 5339 6261 
-1393 3125 210 
1365 -7641 -9149 
-3522 9893 5627 
-100 4215 -6666 
-8289 1738 5910 
-1999 6982 3750 
-6579 -2283 -6473 
-9204 -700 1055 
754 1101 -418 
5414 7736 2353 
9264 -9394 -2262 
-9013 3455 5031 
-5471 -3320 9316 
6421 8797 9723 
6168 -4317 -5773 
-5401 4736 -3166 
2949 -7834 -7965 
-8683 -1786 -635 
-3067 8522 -9853 
-1084 -1301 7963 
8662 8441 -9875 
6684 -6758 779 
-6674 -8356 -8029 
9783 -5148 1572 
7920 2448 -4211 
2510 -7844 -362 
-8114 -4133 8787 
5234 6821 3809 
-4390 -1805 -5841 
2262 7754 -5846 
-4616 -3362 3475 
-4782 5511 -3372 
6663 -8589 347 
-1908 -4922 -2658 
9577 4488 -3142 
-5127 -3133 -6949 
8929 281 1095 
8884 5990 -8411 
9693 6400 -1214 
-493 4671 7806 
4002 7930 3644 
-9322 -734 7796 
8444 -4876 8476 
9664 -606 -8550 
935 7365 6889 
-4912 3607 9518 
-3085 -2536 -5710 
3460 -1603 -1169 
8737 6207 -6004 
5003 4128 3086 
7731 8070 -6634 
-2365 4187 -2794 
9122 2207 2961 
-8417 -8895 -906 
-6299 7712 5028 
-6148 5711 120 
-284 3543 5032 
4402 3692 3316 
-2665 -4358 6550 
1777 -442 -5660 
3880 1796 5016 
2560 -2450 -675 
-87 1197 -8781 
-8532 5553 -917 
-8812 -5288 -1509 
6541 9530 -4365 
-2475 1395 407 
-2746 -9779 -3005 
-3849 -7686 1888 
7240 -2755 -987 
3306 -5390 5137 
4594 105 9034 
-4885 -4644 9280 
-1646 8919 -812 
6083 2817 -670 
-3772 -2174 6823 
-8045 -3017 5037 
5767 -1540 -367 
-3851 -5050 2739 
5318 6948 5540 
6496 8469 -6758 
6963 -3989 -4945 
-8171 2719 -9926 
3048 -5357 9140 
9371 2877 5178 
2598 -1125 6042 
-1056 -9688 3203 
8634 3933 2315 
8593 -88 -1292 
8712 -1641 -3485 
7538 410 8631 
508 -9712 6252 
9501 -9325 6550 
-8894 9067 36 
-3758 -126 -1519 
-5057 6406 3501 
-4323 7926 5492 
9490 800 -6314 
7001 -7969 -7629 
7880 3548 -9440 
1698 7639 7922 
9713 -5994 5155 
-6752 1134 -175 
4821 3858 -8946 
-8798 -861 7066 
3721 -2483 2776 
-5816 729 -6697 
4824 -9470 1899 
6653 2648 -3036 
-2950 9003 -4281 
-9885 4202 -5905 
1881 -4374 -3558 
-5691 3225 -3229 
-1272 431 -1349 
-5214 -4453 -1104 
6854 -6635 -2936 
-5812 6270 -6175 
-1153 5727 1001 
7869 -5105 -4842 
8235 -8202 -4872 
-3170 2176 9331 
1709 2047 -196 
6620 -7453 -767 
3891 7420 191 
9191 -3721 5149 
-4894 1383 6246 
-6492 -3359 9614 
-1328 -3703 7731 
-4120 -5593 2236 
-4112 -8541 1305 
-3719 -5226 7171 
2023 972 9856 
-2342 -337 -543 
-4738 -4296 -1567 
8740 -5825 7050 
6923 5871 8736 
6789 3089 -586 
4121 5403 1160 
3195 -6982 7541 
-944 1050 -3055 
3780 5637 -2354 
2354 -9166 1633 
8417 -2514 -7674 
8965 411 795 
3000 3621 -5286 
2470 -5457 -2190 
9195 3066 697 
8069 -1428 -7021 
1537 2634 4624 
-6746 -6437 2440 
6004 -2208 8252 
-5350 -5292 2251 
2441 1345 9381 
6762 5313 9767 
7663 -8132 9694 
-2193 -946 -668 
-9789 3117 -6423 
4731 5294 -9354 
6710 9017 1609 
5165 4540 1506 
-7296 2319 -8224 
-847 6588 -3193 
3174 730 6188 
5912 291 2948 
4191 -5230 5424 
8426 5291 -1464 
-6482 -9306 7575 
7047 8082 9906 
-9185 -7154 6812 
3471 -5380 -4927 
6243 9708 2134 
2257 -8427 -7628 
800 -5947 850 
-4983 -6545 -4499 
9670 4136 -7547 
6281 3784 -6002 
8924 4924 -7966 
-3496 -4738 2594 
2490 -7429 -4638 
1323 -303 3594 
-3362 4344 1860 
9667 -592 -8123 
-6806 5249 -5470 
-2209 8984 1717 
3515 -696 496 
9918 -8668 -9445 
1330 -6336 3294 
-229 5719 -893 
-3447 6264 -8756 
-7803 -7561 7315 
7113 6867 -44 
6036 4675 1581 
-3985 6944 2908 
-2952 -1689 3258 
9356 2042 1574 
-840 890 -2370 
5885 -8451 4224 
-9594 3622 -1929 
-6657 8019 3845 
-8485 -504 528 
-3276 3204 8424 
-772 7707 -9043 
-2307 2332 -6341 
5861 2022 -3061 
-34 -9931 5410 
2933 -167 1128 
-6083 -407 -534 
-5971 -8800 8334 
2055 -2655 4486 
1223 -2618 -8803 
-7507 -3794 5594 
-3063 6678 7127 
-6086 1757 -9743 
1561 -4412 -3929 
6970 2595 -4223 
-4331 817 -6106 
5122 -6165 8116 
-7654 -6619 8885 
835 2746 8409 
7536 -994 1117 
408 -5321 7310 
5007 4958 -372 
4950 -229 9285 
5777 3956 3951 
7020 7543 -6957 
1780 -6786 -587 
1920 -8829 1939 
595 -5536 -7762 
2343 -7175 -4404 
7921 2248 -3226 
-9840 -4500 -2544 
-8051 -5773 8433 
-4235 -4902 -4118 
3134 -4488 2677 
-491 9185 468 
1605 -4713 7335 
-9418 3164 2322 
-4865 2811 -3890 
7625 -2215 7555 
447 -342 -76 
2261 1420 -5188 
1935 -4388 5640 
-6052 683 3182 
-3784 9227 265 
5601 6788 -1550 
3411 -6888 -7184 
2407 -2685 2369 
3768 3868 -1608 
6878 9609 -909 
3575 3308 2102 
-2424 -733 7629 
3697 8844 -7597 
4112 2250 -4145 
-4473 9573 -7905 
-808 3776 7336 
8281 -6863 -5851 
5223 444 9416 
-6138 -5351 1151 
4379 357 -2646 
-2945 3722 -3028 
4289 6151 -8553 
3538 1349 6858 
-7353 5182 4528 
-2680 502 9151 
6412 -1714 -9311 
-4483 -3805 -3817 
622 -4158 -7412 
-379 -206 -4270 
4615 -4492 6295 
375 -7872 4788 
9689 9617 -5677 
1835 948 3116 
-6661 841 7674 
-6232 3185 344 
-5035 6509 -3744 
2121 -4369 -6432 
2835 -8049 -9334 
-302 -5014 9601 
-7721 -3188 -9620 
-6359 -4266 -7359 
4595 -6173 8416 
9612 6142 -7607 
5001 2157 -2552 
8216 2816 -2315 
8856 5235 -420 
9294 -5447 -7351 
3031 7222 -4168 
2978 -9489 699 
78 -3318 -8586 
5553 6090 6158 
5201 4791 -5738 
-8333 2256 1021 
9525 -5581 -649 
-2457 -4746 -9711 
-4737 7579 -948 
-9592 2518 9868 
-9734 919 -3855 
2380 4191 -2838 
5272 2867 -8803 
-8655 -9923 4383 
4485 -6003 4766 
3672 6058 -6124 
1558 4412 -3325 
-6276 -8396 694 
1375 7638 6150 
-9752 6063 9563 
1885 -4697 7848 
9150 5456 8308 
7147 8948 -9936 
5635 6635 -7038 
839 -1895 -2336 
-8032 4433 -9508 
-1556 8568 -435 
-5073 -2908 4156 
-5884 -3289 -5000 
8242 -6095 8384 
-116 5863 3014 
7390 -5352 -5176 
3358 -6752 9358 
8425 -1081 6590 
5163 7998 -2821 
-5863 -5596 612 
-3751 624 9813 
4908 3730 -6556 
5843 7766 9749 
3857 1257 6536 
8408 -2855 5533 
-6721 -5237 7916 
-4039 -7011 1559 
-155 2217 -5510 
8382 -7551 4502 
-882 -5357 4096 
-8279 -7293 105 
-3281 9764 -9347 
6646 6335 9001 
3899 2513 52 
-3068 -4870 3819 
-9222 7350 6331 
-9622 -7264 -8938 
4260 -1492 449 
47 -9751 4494 
618 3612 2576 
-3787 -4334 6642 
2418 -8989 -3064 
9105 -725 7262 
2713 3537 -2494 
-2330 5390 5879 
6965 9612 1005 
1735 -1092 3786 
450 1994 7604 
4772 7131 2993 
-5454 -2791 -9500 
-7384 8555 -7503 
3944 -2449 -7883 
-9447 -1897 3714 
8912 6748 -8211 
4531 -9311 -6856 
-5588 3038 5698 
8674 4926 -4147 
-1873 1799 8571 
-7200 6095 -4341 
-5533 49 4491 
-6153 -7685 7694 
935 6258 -281 
6025 -4258 -6152 
-8747 -9054 4048 
8707 2054 1944 
-7371 -4231 9284 
-873 1222 2810 
-9690 -8557 -3636 
-100 -4083 -1537 
-2201 2791 -1995 
8262 5352 -8087 
2276 2253 7022 
3894 -4262 6116 
-9053 -2393 2461 
-5251 -8305 -4422 
6007 -5957 -2066 
1570 -586 7760 
6932 1390 -8978 
-3142 -8077 950 
322 7925 7231 
2661 -8947 -8749 
9741 7151 8183 
6540 -728 -991 
-26 4717 2928 
5083 -9403 8150 
-7799 1414 1334 
-840 6556 9746 
-9975 -598 -7059 
-4570 -6160 -6355 
-2342 -8762 9021 
-9131 3020 2054 
-5698 -6445 1865 
8544 9818 -5417 
-5749 -7667 -6886 
8274 -6903 8050 
-9139 3389 -8914 
-1117 -3095 7717 
-2391 -5261 241 
-3027 -1322 3191 
2644 7384 8559 
3345 6443 8198 
4595 8614 7861 
4841 9741 4921 
2891 -2404 5544 
-7391 -6733 3894 
4152 -4195 -6664 
-5952 -5648 -7923 
1624 -3455 8529 
1592 -9082 -6811 
-1043 3830 -1172 
3719 -4768 5021 
-5771 -3693 877 
1540 -3502 -1771 
-5662 9380 9988 
-8593 1601 6466 
-1162 6242 -715 
61 -2553 -9306 
-646 -6620 3428 
-1266 -1386 125 
3541 2810 9412 
-2658 -7096 -4331 
-5015 -9271 -5321 
-7709 4971 9799 
-9391 -143 3814 
9990 -9171 1585 
8617 -3090 2400 
5277 -1508 9782 
7630 -6626 -9475 
-6968 -7841 -609 
4976 -9447 -9128 
-8823 -4012 4821 
3716 1559 -439 
8973 8435 8558 
6204 2210 8282 
-5775 -325 -8331 
7763 5281 -1965 
12 -4607 9556 
8400 -9249 -4422 
5412 1299 -6253 
-2919 2360 5418 
-725 4648 1603 
6875 10 5417 
3674 3055 3789 
7555 8268 -7456 
-9361 263 7818 
108 -6947 -1640 
-7172 6882 -1597 
3709 4427 -5036 
1035 -8492 -5753 
9831 -8396 -7430 
-6189 732 -2287 
-4202 -2565 -3142 
-7347 -1912 3681 
-6083 -2437 7248 
4436 -2660 6932 
-1732 2943 -2460 
-666 -8852 -4538 
-7137 8549 4249 
1986 -5258 4216 
8929 -9756 -9823 
1199 -1136 -7423 
-2410 5715 1314 
-7677 1615 -5760 
8060 -5096 -2401 
3511 6689 -9408 
-648 5438 1599 
1192 -8614 -6806 
9554 -6916 -4649 
-6679 7485 -4030 
-4205 -9132 -4747 
-6767 -1422 -3876 
-8238 -605 -6983 
7600 612 -1450 
-7930 -1828 -7933 
6676 -2565 -8688 
6825 6551 -2850 
8300 8496 9775 
5390 3353 4427 
5595 5991 -677 
4680 2425 -3128 
-105 -3657 -51 
-200 2318 2364 
-1249 -7023 -4399 
-1164 6168 4064 
9779 8977 1267 
-5905 1582 9810 
409 -7822 -8259 
7022 952 -5601 
9451 2850 9912 
3220 1247 -4512 
-4808 8339 5644 
4703 -8511 3085 
4168 -5591 -7243 
-4859 6551 -6581 
-7594 -4413 4520 
-627 -2325 -3405 
293 9746 6666 
4948 -9741 9288 
-2374 9474 6316 
3782 9097 -7454 
-4283 -5278 -3334 
6930 -4928 -2254 
5845 3926 -6233 
-86 6466 -9254 
-6378 8204 -7776 
-689 6700 4973 
3571 -8008 -3054 
-3226 -393 -8775 
2821 -1468 -9166 
9889 7915 9004 
6907 2968 4271 
8248 -8067 9568 
-3643 -2389 6998 
-7036 -5391 5801 
9459 -7091 4145 
-2223 -1847 -4501 
-4493 7043 -1856 
-2604 6636 1961 
8135 8242 8916 
-3984 1362 2933 
933 -9396 -9364 
2626 -8622 -1066 
-3712 1089 2749 
5003 7422 939 
-9488 -8263 -8388 
-8820 -7726 -9431 
1158 139 9304 
3413 -376 8292 
-495 -6975 6262 
-9378 1393 -9882 
-4239 936 -4656 
-9273 -6924 5229 
-1859 -2891 -3243 
7465 761 3153 
9374 9423 -2409 
-8915 -3857 -2748 
-6059 -5819 5738 
-3484 6288 -9134 
5963 592 -4871 
7782 -8321 1990 
6812 4703 -3877 
2260 -4601 3893 
-6357 -9202 -2938 
-440 -359 -8231 
-880 -1164 -3281 
7915 6463 3694 
-5316 -7334 -9139 
1229 -734 -9280 
-1860 -3047 59 
8745 4410 4587 
4775 2452 -5058 
1815 2977 -6826 
6333 1457 8772 
385 3604 6232 
5891 7927 -4109 
-9127 705 8097 
3027 8638 -1377 
-9612 -4637 -6044 
1759 6762 2063 
-9537 8061 -4611 
-388 -6232 4206 
2066 -6340 -2103 
1706 -659 -3295 
-1647 -1879 -3674 
-7564 7727 9833 
-3872 7479 7602 
398 -1886 -7655 
-7205 8594 -8913 
-9585 -9922 9723 
4532 9078 -7350 
-123 9501 -8560 
5015 -9491 -4361 
-4297 -4996 -3306 
-5412 7433 -7823 
3700 7845 3541 
-1796 -5461 6553 
4019 5533 3093 
1478 -6202 6145 
9286 -1561 -7350 
3909 -7260 8721 
9144 6998 -4028 
7718 -2239 -2744 
422 -2031 9042 
7010 6848 -610 
-1843 3632 9507 
-4171 -7856 -1810 
-4032 -5818 2949 
-219 5276 9195 
-100 272 6152 
2541 -3244 -3520 
8888 -4217 -4149 
-3715 -8834 2074 
-2360 -5160 5601 
-5815 -7861 -6029 
-5590 -1955 4808 
-3126 3803 6962 
7909 1498 -2834 
1518 3253 -7212 
-783 -2319 -8586 
9226 -1314 -5546 
8050 8958 5203 
435 -3394 -1674 
-5119 1872 1140 
9568 4594 7821 
9544 -6809 4081 
-9562 5549 -2020 
8365 236 3960 
-376 5461 -1821 
-9515 -8148 -7567 
-7139 -9847 -7124 
6256 -6509 -1115 
3802 6737 -6241 
-5338 5558 573 
-9160 -7609 -7727 
-8500 -4750 5309 
-5717 -1155 -2183 
-4396 8249 -6825 
-8968 8852 -9925 
3379 -1787 5389 
349 -5602 5893 
-3869 -4288 8453 
-3928 -75 -847 
-4529 -3209 -8840 
1430 9912 -4249 
5357 9462 -413 
-3648 8178 9170 
4124 4842 2390 
6985 -1156 -5618 
-3856 -9072 -5076 
9871 -7818 -9506 
-7687 940 9574 
-7363 -1704 2951 
4770 -1022 -7705 
7902 5251 6489 
-4799 -3948 8256 
-911 3674 4399 
8232 -8017 -7986 
1717 -8326 6074 
4116 1694 -2389 
9359 -4018 -893 
4421 7456 -3860 
-3998 -1759 3969 
1296 3096 8788 
2564 4231 4032 
-1573 -7182 2871 
9229 5197 -5830 
9677 5410 3415 
4316 2337 8345 
9150 4202 7563 
-5730 3512 -3479 
7718 875 5253 
-7136 -57 2840 
-619 -2371 -6381 
995 -3524 -2921 
5227 9298 -238 
8576 7980 8739 
-5970 -5007 4565 
-1600 5902 9408 
4100 -4179 7259 
-8719 6248 -8942 
5921 4624 -2732 
-9621 -4517 -7820 
-7722 -2125 -8031 
-2948 -5746 1921 
404 4891 2126 
456 864 -6818 
7388 -7100 1005 
-4804 -2505 5167 
6028 -6748 -8894 
-3347 -3040 5948 
806 -8487 -3213 
-6429 5170 9150 
1826 1957 4647 
4734 -6655 2928 
7531 9135 1358 
5021 5823 4089 
692 4259 7336 
-4424 86 -7564 
-4831 -4632 8518 
2082 1922 494 
2038 -2295 -3577 
6736 -9654 -1372 
-4586 -3998 5622 
-989 -3375 6624 
2362 4415 -3790 
-7954 7961 1838 
1391 3946 495 
-1411 4123 4502 
-5722 -6526 -5323 
3242 -1314 9838 
496 116 -9619 
9252 8386 1734 
5622 3556 -8627 
-7289 2905 -8841 
7544 1823 7643 
5236 -5870 9853 
7365 -5489 8082 
6651 6240 4808 
-132 2144 -980 
-4710 -1427 -3296 
-6467 -2013 207 
-9062 -5038 2879 
7349 8889 -9858 
6700 5542 -3131 
-5358 6322 -4491 
1687 7482 -1190 
6005 9535 6193 
7048 -2649 4863 
-8533 2136 -3991 
1245 2363 4296 
-8731 9985 -7324 
-3033 -3672 6031 
-4958 9264 -1504 
-1032 -1326 -4572 
-8571 -4041 -1585 
-8048 -1136 7803 
-7751 3884 -4931 
199 -6981 1862 
2231 -9970 -1970 
26 6758 1176 
8747 3360 4024 
2339 3128 68 
6801 -3418 7531 
-3080 -621 -2093 
9610 8543 1086 
-5120 -7297 9019 
-9465 -9893 -3415 
3841 -7598 -3087 
7737 9453 -5866 
4482 -8454 1564 
-2817 7922 -1027 
5236 6111 -1334 
4844 -5400 -8178 
9008 423 9239 
9088 -8349 -9458 
