10000 3
6570 -9064 -3033 
9522 4339 5210 
-8832 -1872 3802 
-9436 -243 -2623 
-9436 -301 -5638 
-354 473 -9554 
-5752 -1395 6151 
-422 3414 8417 
-9377 -4199 -5989 
-5249 2820 -1553 
-3377 9543 -2077 
-8806 -6288 4313 
5751 2673 569 
-6175 -8026 3477 
1582 -3237 -6767 
9667 6255 4488 
-4721 -4581 2406 
4941 -3995 -510 
4150 -4811 -874 
8404 -8487 -2956 
-218 -8525 -9159 
9285 9238 -8389 
8495 3119 -4191 
-1634 -5553 1191 
8271 -7093 -1311 
-5496 7715 -4355 
8936 -6697 6405 
278 -6848 -687 
-613 -9346 -3662 
2813 6631 1271 
5389 -7633 505 
-5016 2606 -7762 
-4316 -8092 -4260 
-8337 8120 9 
-1885 -385 2991 
5206 -470 8081 
169 -1945 7164 
8487 2706 -1262 
-4112 -6608 -6548 
-9886 3814 2689 
-7958 2909 -6274 
3210 -3282 -964 
4012 -5132 -7021 
8418 -2026 9953 
-9911 -6274 8891 
-8895 2251 268 
-4012 6942 2353 
-6507 -9241 4479 
4225 2264 -7257 
-2604 -9178 -8344 
6083 -3943 -61 
-9294 -3766 8429 
4293 9085 -2506 
-8569 -7426 9850 
5471 -3409 -9486 
-8150 -753 -7112 
-3769 4373 9261 
-7936 -8845 4821 
-5836 -9323 2824 
1079 2058 7330 
6223 -7004 781 
9044 -3900 3774 
860 -9500 -7229 
4038 4377 64 
-4150 -5294 983 
6859 8752 -9394 
3476 -2430 4419 
-2825 -1349 -4321 
4873 -1345 7236 
-1364 1413 669 
-6968 4966 -5941 
8020 -8076 7718 
-2008 6827 3694 
8052 -4505 -2820 
3232 -8067 4174 
3351 6651 6606 
-1904 6971 -952 
-455 -5307 -8170 
-478 -3133 -5575 
2952 -3304 857 
7998 -8027 6229 
1420 -5230 -7354 
1491 -5196 214 
-6933 -6224 564 
-9414 -6045 -6742 
5156 -6900 -201 
-3364 8910 1894 
-4300 331 -9980 
1775 -1142 -7494 
-953 6178 -2008 
8864 9564 9543 
-305 4259 -3847 
4741 -1924 -9620 
-2246 369 6432 
-4871 -6993 -4753 
-7809 3619 5644 
-7441 -9094 7815 
-4104 -5725 -671 
3279 -7832 -7673 
-3245 -7535 6693 
9325 -4806 2442 
8694 4185 -8795 
-2400 9207 1068 
6825 8936 -1075 
8383 -1668 -7285 
2920 315 -2131 
4517 -3437 -4641 
4018 -9064 -9080 
-8492 4119 1941 
-4110 -4789 -2901 
8416 -5940 5955 
9818 7957 6177 
4947 120 -9283 
-8087 2703 -6087 
5626 6543 9453 
7991 -3238 103 
7443 4786 2746 
-5086 -8147 -606 
7326 -9803 1231 
4664 -9928 -2789 
-6639 -7587 -9949 
2145 -413 9160 
9533 -9005 3539 
4621 -7848 -5978 
6573 -3114 82 
-7503 -2194 -9235 
5071 -2429 7407 
-5675 -7292 -5696 
3375 8514 -5405 
4324 7615 9431 
6550 -6961 -8205 
-2555 -1743 -1234 
-1058 -4963 -3639 
5848 -7688 -8060 
-9513 2136 1715 
-2437 -245 -7543 
-3641 -9340 -9445 
4089 5433 -6904 
9165 5282 1404 
-8453 7085 -7770 
5779 -1478 1822 
-7232 -3206 -5643 
-3042 -6500 1102 
1241 -6593 -9570 
-3679 -90 -5344 
3001 4121 -4468 
3252 5264 -9691 
-7623 8694 -1558 
-3206 -9056 -2035 
4089 -4411 -6282 
7020 -4257 4675 
9620 -2017 -6459 
2502 3751 -2108 
-164 1806 -9739 
-8176 -6425 -1511 
-9002 -7738 448 
-7780 9645 -8506 
-8916 -1022 -8215 
5769 -8886 -3725 
-9267 -429 8182 
9853 8208 8470 
1291 8840 -6420 
1300 9454 -9419 
2089 6737 1807 
6687 3500 -4723 
-9556 3212 2268 
-1244 -8743 9533 
7071 -2016 -6498 
4417 -9428 -8021 
-1779 2822 3478 
-5223 8559 684 
-3230 -4793 -5728 
9317 -7833 169 
-6156 -9481 -9261 
7772 -7650 4511 
-3732 -8210 -7482 
-9728 8218 -4819 
-775 -5042 -4601 
-7755 -4953 -3270 
128 -578 5876 
-7381 -7917 5451 
-8109 5734 -1300 
-2174 -9663 -4290 
-7113 -3949 2968 
1366 -6264 7235 
8041 5107 9880 
451 1779 -5196 
3223 1852 -9609 
-7231 -3548 -8326 
-4036 1026 1630 
-6253 7034 -4374 
6735 -906 5864 
-9533 -2502 6113 
5722 -9838 9172 
2042 7852 5087 
-7669 5832 1018 
1133 736 8756 
9577 3193 7920 
2605 2802 -3756 
1844 -9920 -1497 
3157 -1885 -3416 
3943 5534 5908 
-3952 1723 3867 
9664 -2086 -6095 
2165 -4825 4834 
4164 6273 3155 
9326 4940 6543 
1834 -194 5483 
7467 -6642 226 
-7886 -1601 3556 
-7911 -6631 2942 
-6166 -5927 4527 
7666 -5201 2672 
-1944 692 8070 
9054 -5700 2316 
-8762 3270 -9565 
-1528 -3361 -4338 
1408 5978 -4877 
-8578 -1216 -4951 
1401 1983 8430 
-8047 -5454 8595 
-7357 -6319 8783 
425 9036 486 
1459 -3744 5612 
-3119 5243 -6831 
8944 -5448 1318 
2869 6583 4884 
5038 9145 215 
-8155 -6678 -5185 
7423 9000 7386 
2985 3537 9442 
3953 8285 -3309 
3287 -4051 -916 
1641 -5782 169 
-7311 7595 -3506 
7755 5634 4994 
-3460 7063 7424 
5686 6363 6669 
-6361 9446 -9436 
6563 8679 -2320 
378 -6351 2003 
-9654 -4673 2162 
5586 328 6955 
4784 -7057 1735 
8738 4134 87 
5349 3974 5256 
6978 5453 -4386 
344 -8169 1256 
-8212 4742 4873 
-1970 -4265 603 
6629 4871 -7926 
5076 -7077 -9841 
6186 1974 -7142 
5408 6091 -4009 
-4925 8461 9374 
-4763 6956 -1414 
3320 -7298 8733 
-3236 -7931 -7840 
-8599 6112 -3626 
6391 3840 2602 
2414 -2641 3373 
-8824 3148 4903 
4562 1965 -4226 
-9857 9529 -3901 
-6211 -2259 2854 
-976 1876 7186 
-9844 -4921 8034 
5284 -5311 -5955 
-1807 4662 4093 
2185 3619 2468 
1321 2061 6384 
2018 1207 3206 
-5412 -6176 9386 
-9001 -1069 -375 
9789 -2653 5083 
-6546 8135 -5562 
-1763 2605 -9819 
2223 -164 1522 
-9857 7900 7644 
5930 -7083 7249 
3906 1353 -5393 
-88 8549 4072 
9024 8521 8766 
-4972 7580 -9310 
-9659 -8528 4060 
7929 6132 9225 
7644 -4664 -3120 
-5021 2502 -2296 
-2135 -7598 -4734 
8925 4948 -5450 
-3620 5402 7038 
-7778 4885 4677 
-9156 4304 4521 
-4649 6522 -6156 
-8156 -8913 -3446 
3964 -9824 7488 
8106 1230 -4531 
-6384 9062 -5600 
8018 5810 -654 
2944 -3268 -7683 
67 -5740 6550 
-1582 7805 2594 
87 -8631 2156 
-1699 -178 4676 
-2945 -6469 -3924 
-9884 3263 5436 
-8902 9432 4417 
7577 2867 -4370 
1605 -7493 5644 
9275 2865 -4908 
-1174 -3047 -7965 
-8193 9789 -8165 
3275 -9037 -7633 
6117 7385 1772 
-6891 4249 -616 
4315 -9616 1451 
-5456 310 -8769 
-7759 953 6096 
3235 272 -403 
8203 -5868 7084 
-3717 9648 7593 
4771 312 -7500 
1343 -9003 -1134 
4871 -2961 -4030 
-4918 494 186 
6622 -632 -1950 
7958 -5857 1517 
-3402 -2052 -5164 
2684 7441 623 
-7578 7858 -1316 
-1357 -2523 1564 
3005 5347 -1851 
-5504 -2446 1388 
-694 -9884 431 
-685 1472 -3419 
-6787 -2831 -8589 
1283 -211 -7650 
-6768 -5937 2117 
2396 -3085 -7895 
7016 5108 330 
-1186 -1243 -2904 
-827 -1634 1012 
-2438 -1872 150 
1882 -6286 -1108 
-4313 -5282 5203 
-8037 1632 7064 
-7888 882 9600 
3044 9190 6041 
5498 -8178 4985 
5557 -3150 1858 
-1672 -2819 -1123 
4672 5342 4164 
435 -2422 507 
-3604 -6639 7713 
-7947 923 -414 
-8479 -6239 8009 
2932 -4545 7550 
2729 113 7633 
-2949 -4794 2818 
1884 4597 3867 
-6540 1751 8075 
1300 2989 -8925 
-7959 894 -4541 
-2611 -2323 9710 
-2349 8861 964 
-6650 8559 3200 
-1674 -9964 -4554 
-5081 3872 -6390 
-2141 -1158 4396 
-9853 1504 1042 
-8454 3238 2991 
9958 4465 -3173 
7617 -9904 1134 
-7762 7089 -1079 
4414 3487 9572 
-6740 6780 6771 
3051 -5908 -2910 
-3082 -6956 -7371 
2790 -5259 1300 
6547 151 -6321 
658 -1328 8487 
4219 -1765 -7495 
-3597 1207 -4862 
-503 2809 -9918 
-9705 -5685 -2696 
5938 -2324 -6299 
-1700 -4984 26 
2290 6657 -7866 
3834 5547 5823 
8081 -1542 -3814 
286 -8108 5122 
-9090 -7167 6169 
-4130 7087 6126 
-8952 5023 -9863 
7040 3577 6448 
8375 6905 5977 
-649 -2505 -7567 
-2253 1518 5702 
5497 -2329 -1110 
1323 1331 9617 
5353 -9913 -8308 
8990 5262 -6865 
-3784 -6252 613 
2006 8034 -3797 
69 -1460 5786 
4752 5703 -4796 
2547 6352 3006 
-9802 705 1900 
3206 1805 -1534 
1833 -9927 8455 
-957 -3065 6004 
474 -9017 4486 
-3922 428 -309 
8165 -1463 6566 
-3014 -305 -1373 
9428 -8408 2844 
958 -3980 2787 
2577 -5988 7430 
2993 4005 7202 
-1743 6784 4001 
-9953 2216 4933 
-4514 -1620 8800 
-6378 4445 231 
8106 3497 8467 
-5965 -6193 -4064 
2095 -7727 -9366 
7471 380 -7181 
-3159 4805 -5119 
-894 9263 4561 
-6371 4196 -5587 
-2741 689 6274 
-9197 5515 -4361 
-9292 1193 -2499 
-5122 -6242 -7468 
8820 2374 -9146 
5420 7624 7353 
5904 -3855 -5526 
-4411 -7857 1322 
-4481 2973 -7336 
-5472 3527 961 
1760 -998 -3014 
-1767 -6162 524 
8280 5069 916 
-9393 4629 7598 
-5432 5666 9035 
-6232 757 1494 
-9146 -6094 4437 
-2297 -9448 5860 
-9603 -1435 792 
1900 8547 4101 
7246 -8804 -3017 
-4154 2836 -7239 
-6878 5823 3382 
-207 -8945 -9717 
-6026 1736 5654 
5984 6381 -4183 
8628 -6030 -582 
-2558 -1673 -5178 
4468 -1913 -506 
-1646 -4718 9129 
3134 -5009 3088 
-7387 6767 -7501 
-9772 -2774 1043 
-4321 5477 -816 
-6666 -8454 6086 
-751 -7818 -4052 
-8655 7742 1918 
4624 -8053 3343 
-7947 4553 -2438 
-3579 -4941 8303 
1100 6818 5174 
-1235 7942 -3943 
5134 -6859 -6684 
-1549 6946 2085 
-8922 -9372 -5525 
-191 -6631 1208 
3585 -5552 -6313 
-2725 -6446 -141 
-2278 -6460 202 
-9739 4156 -8762 
8027 5364 -7111 
-9844 793 2238 
4530 -5573 -4662 
1227 -6182 6141 
6792 -4719 -6621 
-6349 8122 -35 
5100 -5848 -6052 
6976 -3854 -5736 
-8604 -2615 -9440 
1387 1333 -258 
-8990 4610 -6775 
4934 7610 1660 
4631 7237 5076 
-1735 8095 -9661 
4734 -4747 5648 
-701 -6177 6247 
4653 3878 -3490 
8116 -9803 -2900 
-1282 9598 -3093 
8242 -2339 -5403 
4990 9063 5831 
-4102 -647 3540 
-3431 9395 2858 
-9002 -5930 4168 
-1667 7562 1356 
-9042 6355 -7634 
-1079 -6565 2408 
-2693 7115 9458 
-1758 2006 1662 
6749 -5360 -4148 
-3219 2882 -1078 
-3115 -7056 648 
7491 3620 -7087 
-6591 -4574 9638 
-3850 8054 -623 
7148 -8499 2939 
-6918 -8295 958 
-3785 8508 7847 
-9149 5738 2299 
1832 -953 3924 
2084 3750 6367 
-2092 2705 -8336 
3619 6926 -930 
-8593 7775 9272 
3223 -2662 -9707 
-8762 -7818 -5588 
420 -4778 1358 
-5594 4615 -5767 
697 2889 -4578 
137 -3913 7883 
-1994 6092 -5148 
-8979 1992 3000 
125 9409 8567 
203 3288 5887 
9093 2672 -7087 
305 5883 8771 
-7833 -5349 8799 
-9324 -6189 -1441 
-4564 -1219 1116 
2390 5440 534 
-1913 3949 -2880 
-373 -5938 -3017 
3079 -6140 -9605 
-4561 -7288 1571 
-1511 3618 9395 
8095 6580 5884 
-9094 -4608 -1138 
-1475 -6128 -7987 
6328 -1385 -6187 
7 4350 9901 
-9557 4328 8022 
8702 -1061 -3676 
-1962 1450 4493 
1053 -7849 -1565 
-4725 4659 1897 
1464 514 5775 
9203 -3488 -7833 
-7039 -2449 6433 
-4503 76 2457 
9362 1217 -2235 
-7272 -9216 590 
189 -5356 -6290 
9245 -3697 -4523 
9300 -8565 3740 
3253 5323 -2982 
2403 -7250 3760 
5076 -3027 2218 
5014 -5410 9158 
-6125 8178 6749 
6572 -995 1422 
9035 5159 -6861 
-7783 7493 -8798 
-7488 7412 -7226 
-803 -7928 9551 
-3266 -1374 8215 
5874 6838 -8384 
-6861 -5014 -4744 
-5748 4061 9324 
-7584 -8638 9352 
3069 -1174 -7661 
-4575 -8347 8033 
-4944 -8909 6780 
-3862 -1749 -1552 
-9918 -6028 2913 
-4204 5358 -7127 
-6471 7888 3336 
-7423 858 -8588 
-8723 4072 5145 
8074 -3611 2985 
-6475 -4900 1831 
5260 2587 -122 
-639 5686 6563 
-8058 4812 -6201 
5419 28 6411 
7704 -7364 -421 
-3671 -9918 -6341 
-7747 8039 -7469 
5668 556 3097 
-8451 8210 -379 
-4923 -1078 8449 
-7582 -5096 8658 
105 -212 -8676 
8326 -3264 -9959 
-4092 9101 -2196 
8086 8672 -5693 
-8858 5735 -2315 
5816 -9204 -488 
9261 4743 7273 
-866 -2277 2004 
-7112 9262 -917 
6612 -1164 3183 
-5252 4888 8855 
-3948 9943 -4983 
-9505 -4708 -2614 
1155 -9230 1330 
2226 1680 -5676 
9680 -1711 6031 
-8307 -2562 7606 
-6076 -2883 7220 
-4017 4054 -6856 
6479 2413 -3975 
2792 -3392 -2137 
9347 -7265 -1234 
9533 -8663 2512 
7374 7514 2412 
877 -349 -122 
1328 -7158 -6462 
-3293 -3493 -3234 
2646 -8039 2705 
3736 -4379 -4906 
-3559 -5491 -3619 
-402 2881 -8123 
8588 -8126 -3291 
6691 4823 -295 
-9917 7369 991 
1627 -6360 -4412 
-5019 5108 481 
6131 -9390 -512 
5414 9299 -135 
6417 6383 -1544 
6310 6354 -77 
6879 -9388 436 
-8467 2672 -7445 
5968 -5794 -9805 
-1823 -6814 -3000 
7064 7094 2606 
-2743 -2082 4802 
-8427 1257 6279 
-1278 9328 6216 
-560 4681 3568 
-9695 4601 -111 
9704 -7108 -586 
5710 -5276 5453 
-7031 3351 799 
-9552 4459 3643 
6400 7383 -8210 
-9771 -9154 4413 
1811 -5526 -6725 
3830 6093 5078 
4776 3160 -2720 
-7799 -2212 7973 
-7865 8285 7393 
1544 -7608 -2445 
-2896 -7135 -4086 
-8338 -8780 -1538 
-2606 -2067 -9072 
-922 5985 4440 
3898 -4803 -3005 
-4387 6686 -9394 
7359 6771 4463 
2709 -6089 -742 
5384 3305 -6962 
676 6439 -660 
-2378 -9542 -9363 
3965 -8091 4635 
7906 2641 5989 
-6558 4903 546 
-8301 -9170 698 
3906 -9494 342 
-419 2601 -2271 
-1352 -745 -3408 
-2999 -3575 -4488 
-4547 2866 5699 
6805 6208 -2076 
-7990 -9845 9811 
479 226 4507 
7561 5944 2141 
-3814 6153 -7229 
-3489 -2639 5745 
628 -8673 3132 
-3282 -9540 -3725 
5806 -9535 -867 
1709 -3427 7161 
-4176 9804 5847 
6550 4010 1849 
5322 -6954 -1537 
8752 -5165 -953 
-40 4489 3902 
7843 7381 -416 
-4159 -3004 -9587 
-8926 -5493 -9456 
-3103 -8341 -3633 
2912 -4303 -4332 
1627 -7250 -3997 
81 9673 4533 
774 -8371 6115 
1269 2578 9258 
-5996 -4005 -1662 
10000 -590 411 
-1454 2381 -8526 
-6531 4859 -8452 
7381 -1458 -5139 
-4250 -1120 2307 
-6393 -4563 -6637 
-9230 -1770 -5092 
2089 -5332 -6994 
1753 -5224 321 
2288 5525 9308 
-9766 -5046 -3001 
5521 5595 9027 
-3324 1297 -5098 
1380 2471 -5772 
-2054 -2466 7004 
-8423 9728 -2757 
9567 7558 -9004 
9692 8442 5412 
-8864 -9756 -8136 
-6618 1328 3284 
4909 -8383 -1221 
8426 67 -6586 
-9965 3703 -4648 
-9728 8710 -9952 
-6439 -2565 -4762 
-6782 9983 -3532 
-7714 -1317 7445 
-8948 -9701 4385 
2426 -8477 7445 
9258 -6320 7791 
9508 9641 8474 
9450 1255 -6646 
6299 -4626 -9830 
5247 6261 108 
-5610 -2545 2842 
572 -1429 -3679 
-1803 375 9107 
7072 -433 -5380 
-134 4053 -9886 
-5044 1022 7199 
-7865 -1988 -5661 
-6114 798 -3999 
-6426 -8671 7076 
5398 217 -890 
1990 -5703 -4547 
1654 3934 4440 
-3906 7354 -9952 
-5418 -1054 9629 
9539 9559 -6250 
3476 183 -6165 
7788 7624 -6852 
5559 6461 4954 
2982 -2102 9498 
2817 -1537 4000 
-1381 3030 2863 
-8856 8463 9754 
3599 -1800 -653 
3324 9892 -8211 
4089 -6539 -2071 
-3377 -2638 3561 
-7085 -9154 7753 
-4790 -8906 9665 
8376 2826 2505 
5001 2164 -9685 
-335 -8207 2866 
3105 -397 -6117 
6875 9956 -1763 
-1748 8453 -7999 
-6613 6277 3610 
-3098 -8515 2991 
-552 -1663 -6122 
-8152 -2634 1306 
-2502 -5803 -2565 
2699 6824 -2252 
-4380 9210 7278 
3340 -9514 -8810 
-5139 -4604 6370 
-716 -3444 -2461 
-4230 9451 -9527 
3076 -4378 3250 
1867 1034 8852 
-1051 8679 1134 
495 2865 643 
5896 -9441 -3000 
-7834 -2309 7934 
3579 8775 -4896 
-2273 3580 631 
-1973 -8137 -6552 
3112 4369 8369 
-1053 1821 8818 
-7211 1468 7205 
3483 -1182 1817 
-1626 -5118 8513 
1139 -1661 -1910 
5427 6295 1384 
6782 6713 -7406 
9016 -1989 -1200 
-1349 -5969 -9795 
-6323 -1907 9259 
-4482 -7100 -9277 
-3414 6770 8543 
4208 6949 2374 
4684 -940 -742 
1204 -8005 7480 
-9635 2868 -9824 
-851 4455 422 
6395 8803 -6208 
8249 -5290 1564 
-9653 3952 6286 
4786 6662 4158 
-7105 -3040 6886 
-5114 1399 7002 
-1544 5168 9589 
415 -8892 -4357 
-9959 -1940 -647 
-9000 -4853 -6646 
3105 -2723 5868 
-661 -8830 -3723 
1043 -7417 5978 
8785 5779 1489 
-6406 -1475 5548 
-7155 2423 -8631 
1340 -8933 -1743 
8357 -1886 -6302 
1516 3281 -1297 
-3830 -2986 -9685 
6736 -3424 -7664 
-7695 584 4100 
-1988 3842 -5827 
-1644 7403 1724 
-5754 -9125 -4684 
-1363 -9780 -1066 
-4643 5121 -5994 
-4845 8303 6133 
-7385 -2695 988 
6500 1169 -1917 
626 8153 6745 
-6117 -2417 -6007 
-1058 -8847 -3098 
-1625 8135 -1151 
-113 -8432 4109 
9418 -6969 5251 
1746 -4245 6033 
2312 -1129 2961 
-2533 8897 -9617 
-9420 -26 1687 
-3369 6421 3222 
-8512 -305 2092 
6924 -9698 -3461 
2879 5288 -6770 
5839 370 -125 
2329 -2806 -8861 
-2588 5238 1352 
-3489 1356 -860 
-2449 6233 -4015 
1394 -8587 -1039 
981 -9518 -2474 
-6674 -9754 -9105 
-2546 -24 -8926 
3107 -5569 281 
871 -7206 534 
863 9247 -7548 
-225 9944 4706 
6913 3552 -4126 
4568 8113 3660 
-3596 9585 -9237 
2219 6922 -3354 
-213 1281 -7254 
-9234 -5685 4344 
-6636 5023 -5933 
-7765 7488 9580 
9346 9058 4186 
2366 -8038 4794 
-8679 -8741 8710 
8343 1527 -53 
9686 -7615 -1627 
-2064 2241 -6270 
6388 5191 1862 
-7354 5000 1446 
8374 9975 -5638 
-339 -239 9411 
-8983 7737 5771 
2729 8854 9005 
4048 3726 -3004 
1990 9397 -1922 
-7818 -7227 -1819 
2729 -3311 8016 
-3037 -6946 974 
2204 6299 -5562 
508 9670 -5444 
-2959 -590 682 
-6432 6837 -8542 
-2798 -7185 -1933 
-8499 -4060 -6894 
-8995 -3400 -452 
-8814 -3588 5494 
3198 -985 -2726 
7838 -9239 -5985 
5787 7317 -2626 
2006 -8702 9629 
7611 1687 -2071 
2357 6009 2856 
9307 1564 1684 
8308 3687 8970 
128 -7206 2663 
-5455 -9510 -7354 
-7247 2836 -3692 
-826 5488 -1195 
6264 4061 -4332 
6961 -4498 7476 
7529 -9248 5520 
-1612 -2411 5976 
-3706 7061 4952 
3375 25 2922 
5049 920 3972 
1708 6329 -9803 
7890 6107 -6845 
9242 699 5651 
5507 8895 -1085 
-5385 -3158 9624 
6608 4474 -9657 
-1002 7052 8759 
9855 1982 -3129 
-8267 6056 4976 
1178 -1182 5050 
3958 -7134 9425 
9347 8252 5930 
-9509 -3998 2676 
-6680 9529 8093 
-9429 -3882 4894 
8491 7789 -8313 
4791 -9714 5689 
-1953 2702 -9607 
-1828 6796 -2200 
4727 -5780 3456 
431 -7925 3846 
-9829 -2919 -1385 
-4394 -9130 889 
8912 -6712 11 
1551 -1636 8514 
-6801 -4993 -7053 
5287 -8801 4291 
9351 693 -8494 
4119 -7801 -7633 
81 -9338 -6796 
-9104 -2420 9734 
1981 5637 7495 
-3447 6557 -4398 
-3955 -5628 4342 
-9300 6788 9082 
6565 -4532 -4495 
-2780 -1461 -3885 
6543 -8035 4779 
-840 -5435 -6716 
-8797 897 -4382 
9436 6859 -2662 
-1830 -8471 -1644 
1340 -14 -4542 
4444 -7928 -3248 
-4397 818 4092 
1328 2150 -4084 
574 -9363 2794 
9364 -3052 5272 
7643 -9591 3146 
1583 8796 -4663 
8279 -1793 -3561 
9437 -6407 -5085 
-8030 8915 -915 
3766 -5937 7994 
2418 5603 -2340 
-1305 -750 -2554 
-1856 2162 -8952 
-4263 -6303 6580 
2138 7955 -3029 
4165 -7461 -7870 
7013 1359 -9197 
-499 680 -3649 
2290 -8737 -8706 
-7966 -4232 -2158 
148 -9794 -9369 
-5935 9916 -546 
4110 -7997 3213 
18 -8190 9062 
-4788 9606 -8281 
351 8488 -1713 
-2191 -5084 -2491 
-4614 2505 -862 
-3096 8559 -8250 
-7298 6387 -9569 
-1054 6611 -183 
5118 720 9919 
-2158 713 -538 
8278 -5506 3605 
8782 -9783 3676 
5999 9619 7484 
-4570 -4083 -5333 
-1777 4084 4829 
-7188 4088 -6068 
-2968 6015 1243 
1645 7572 6430 
6747 -1721 5976 
-6097 9802 6557 
-6770 4088 -9475 
3006 -3496 -9528 
3761 -1227 3515 
-4393 -4169 -6940 
5770 5808 -4899 
-3132 -8704 -9315 
-1269 6151 -391 
4656 1051 1836 
-1678 -6690 -3356 
788 -8289 -6710 
-8387 3152 4125 
-3903 -729 -605 
-3618 38 6411 
-8177 -5997 -5836 
-2691 6117 -4070 
-2241 -1606 4426 
-8016 -2760 9577 
7197 -1066 7241 
5919 8409 9755 
-6655 -4304 3229 
-4874 -6815 3184 
4726 3344 6904 
-7246 4328 -5947 
7663 -308 273 
1050 7464 3078 
8292 -2150 216 
9816 -3758 -7501 
6001 2785 1924 
9319 8420 8982 
-3156 -1920 3554 
1467 -5075 -4576 
8322 -6103 -16 
-691 -3424 -4671 
2392 -2922 2605 
-1475 -5167 -241 
-5463 -2640 9659 
5287 -1564 1364 
-3771 -5730 3899 
4700 9292 369 
1025 212 1467 
6910 -8275 984 
-3363 -4295 -5113 
7989 9026 -1309 
-5893 -5896 9974 
5930 -31 -8726 
-3961 -5930 -5234 
6023 758 -7317 
-5856 -8687 1438 
-7699 -5106 8997 
4690 -5352 -7237 
8865 -7460 4533 
-9823 8772 8678 
-4203 9504 -9089 
-3340 6093 7864 
1696 4195 -3982 
6367 -5768 3780 
1492 5680 -8070 
-7629 2352 1005 
-6743 9460 5721 
-8651 3376 -703 
8931 -3992 5449 
4129 -5555 4929 
-8447 8216 6897 
-7402 -1955 -2982 
7431 6951 7835 
-1680 3532 4022 
-9526 4302 7267 
9206 -5860 -6324 
3093 7853 -129 
4757 -5102 -8638 
6262 -4669 -9906 
3060 -1562 4323 
6501 -9457 3028 
-2553 -6396 9407 
-3457 9122 -9556 
5755 4998 -8224 
3825 7188 7716 
7671 -9581 -6731 
-7715 2129 2080 
-9487 -4987 562 
7955 -9671 7253 
-3618 2099 -4279 
-6978 -4020 9442 
-6912 -598 -6366 
-1085 4357 -6015 
-7297 5709 7636 
3307 4638 -7747 
2340 -4453 105 
7193 208 -6535 
8968 -8732 3166 
845 4714 795 
9109 -9391 -1830 
-290 -6282 5439 
6204 680 266 
-7802 9785 -2321 
-3617 5513 7501 
-4936 -773 4234 
4308 2966 9449 
6732 3513 5510 
-5773 2887 -2107 
3133 -1237 1821 
5003 -3948 -6695 
-7390 -1602 -5874 
2062 9466 -3572 
-3152 -6715 3110 
-4320 2475 -6673 
1033 8183 2096 
8297 -1968 8688 
2899 6147 -2905 
-2960 -963 6107 
-2003 -4697 5646 
7124 -7248 3376 
8637 -9119 4159 
7090 -304 9594 
-635 -4522 -1556 
5203 2652 -8489 
-7187 -9320 -6546 
8578 -4643 -9967 
3281 8680 -7679 
-2711 -9853 -1088 
-6754 9143 -9979 
-6022 7775 6932 
-7046 8095 2437 
-7656 -2143 1748 
-7042 988 5661 
7450 3171 -4156 
8918 9463 6873 
7461 7613 8713 
-4232 3025 -1654 
5306 -9988 -5660 
-9622 7862 -4147 
2061 4616 -448 
-1710 6399 7501 
6661 -9670 6369 
3881 -2057 -8177 
-6075 -1484 -1386 
6672 -7124 178 
-7222 6047 9369 
2699 -7575 7357 
-4703 7008 -9528 
-7618 7434 5894 
-7537 5259 -4998 
